discrete,discrete,discrete,discrete
1,2,1,,abm
2,1,1,,acm
2,2,1,,adz
1,1,1,,amc
1,1,1,,api
4,3,1,,arm
3,3,1,,ata
2,4,1,,brb
2,4,1,,bri
2,2,1,,bto
3,2,1,,cay
3,1,1,,chu
4,4,1,,cof
2,2,1,,cso
1,2,1,,cve
5,4,1,,dah
3,3,1,,die
1,2,1,,dum
2,2,1,,evn
2,4,1,,ghb
1,1,1,,goa
3,2,1,,ign
1,1,1,,iwm
3,1,1,,jav
2,1,1,,jiv
5,4,1,,kab
4,2,1,,kas
3,1,1,,kek
3,4,1,,kha
3,2,1,,kkn
4,4,1,,koh
2,1,1,,krk
2,2,1,,kse
3,2,1,,kur
3,2,1,,kws
4,4,1,,lam
3,1,1,,lui
5,1,1,,maz
4,2,1,,mie
3,3,2,,mme
2,2,4,,mnc
4,4,1,,mrg
1,2,1,,mrn
2,3,1,,mxm
1,1,1,,nas
4,1,2,,nbk
4,2,1,,nep
1,2,1,,nim
3,1,1,,nun
4,4,1,,oca
2,1,1,,oji
4,2,1,,pso
4,3,1,,qco
4,2,1,,qui
3,4,1,,rom
5,4,1,,sdh
1,1,1,,seb
2,1,1,,sin
2,1,1,,slp
1,1,1,,snc
3,2,1,,snh
1,2,1,,snt
4,2,1,,teh
2,2,1,,tic
3,2,1,,tks
2,2,1,,tun
4,2,1,,twn
4,2,1,,wap
2,1,1,,wdo
3,1,1,,wic
3,1,1,,wiy
2,1,1,,wry
3,3,3,,wuc
3,2,1,,yan
3,1,1,,yct
5,2,1,,yuc
3,4,1,,zan
